COVID-19 Vaccinations in the United States
Date generated: Mon Oct 17 2022 11:49:37 GMT-0700 (Pacific Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with a first booster dose,Percent of completed primary series pop with a first booster dose,Residents 5+ with a first booster dose,Percent of completed primary series 5+ pop with a first booster dose,Residents 12+ with a first booster dose,Percent of completed primary series 12+ pop with a first booster dose,Residents 18+ with a first booster dose,Percent of completed primary series 18+ pop with a first booster dose,Residents 65+ with a first booster dose,Percent of completed primary series 65+ pop with a first booster dose,Residents with a second booster dose,Residents 50+ with a second booster dose,Percent of first booster dose 50+ pop with a second booster dose,Residents 65+ with a second booster dose,Percent of first booster dose 65+ pop with a second booster dose,Children <5 with at least one dose,People with an updated booster dose
Puerto Rico,8218150,257324,313555,7723269,241829,6781569,258743,3106774,95,2684661,95,2736292,85.7,2366211,90.3,5114730,N/A,2885820,N/A,216100,1500,0,155917,2926892,N/A,4640031,N/A,36,393,711150,95,623560,91.7,1954828,287620,1209160,2917437,95,2576621,7361524,258454,288529,3101406,95,2735079,88.9,7714845,250790,267152,1703572,62.3,1703544,62.3,1695293,65.8,1560082,65.9,461068,73.9,N/A,258553,29.3,158142,34.3,N/A,N/A
Republic of Palau,48290,224271,291202,49838,231460,43376,261569,20625,95,17612,95,18383,85.4,15826,95,14090,N/A,30400,N/A,3800,0,0,2357,38102,N/A,9206,N/A,0,173,1877,94.2,1811,90.9,5399,271034,2424200,19149,95,17280,47062,252411,258997,20581,95,18375,90.2,49771,244299,237029,12133,66,12132,66,11947,69.1,11249,71.1,1581,87.3,N/A,1194,24.7,399,25.2,N/A,N/A
Rhode Island,3119725,294491,364937,2447927,231076,2212538,258817,1095356,95,967930,95,909881,85.9,802375,93.9,1819125,N/A,1206700,N/A,90600,3300,0,66693,939778,N/A,1438774,N/A,295,2387,229486,95,196528,95,655665,350537,1667890,1038627,95,863793,2355765,253993,336362,1089330,95,907140,90.3,2437567,242583,310470,515043,56.6,514984,56.8,509186,58.9,486396,60.6,156559,79.7,N/A,120835,40.7,78686,50.3,N/A,N/A
South Carolina,12637175,245443,312993,8137756,158054,7494100,185611,3594916,69.8,3261476,80.8,3031672,58.9,2762475,68.4,6914435,N/A,5217540,N/A,463500,41700,0,233316,3166054,N/A,4734615,N/A,291,3480,978693,95,843925,90.1,2626303,280282,1348650,3471402,78.5,2939667,7911511,178995,285911,3580821,73.7,3026701,62.3,8114325,167090,260225,1308387,43.2,1308320,43.2,1298536,44.2,1260805,45.6,564419,66.9,N/A,299685,32.6,216934,38.4,N/A,N/A
South Dakota,2324765,262787,348249,1549967,175205,1393387,208729,712199,80.5,631348,94.6,569863,64.4,508952,76.2,1337565,N/A,891500,N/A,93200,2500,0,42419,595139,N/A,912284,N/A,22,103,186343,95,153403,95,471466,310438,1530750,678352,91.9,545510,1486716,201424,314966,708602,86,569383,69.1,1544345,187536,282306,254811,44.7,254808,44.8,251712,46.1,242159,47.6,101344,66.1,N/A,59960,35.8,43405,42.8,N/A,N/A
Tennessee,15303930,224096,287715,10743836,157323,9971894,187473,4351633,63.7,3971854,74.7,3806785,55.7,3493544,65.7,8977890,N/A,5785940,N/A,528500,11600,0,269958,4106322,N/A,6289093,N/A,1239,77224,1071022,93.7,983229,86,3284318,287243,1338470,4214245,72.2,3700305,10477257,179541,262253,4336060,67.5,3801732,59.2,10717081,166918,238358,1782082,46.8,1781896,46.9,1768255,47.8,1720718,49.3,698475,71,N/A,433710,36.5,300055,43,N/A,N/A
Texas,72636825,250507,336343,48887075,168600,42725745,197840,21729228,74.9,18567507,86,18083748,62.4,15765642,73,43972585,N/A,25926240,N/A,2658000,80000,0,1542852,17930774,N/A,29405201,N/A,80,8168,3685966,95,3270152,87.6,10254022,274595,1945160,20469622,84.9,17260225,46550083,193145,301384,21618434,80.1,18061372,66.9,48701727,180343,268976,6797261,37.6,6797153,37.6,6697326,38.8,6511524,41.3,2096448,64.1,N/A,1302400,32.5,823616,39.3,N/A,N/A
Utah,7454550,232522,327705,5658405,176497,4878725,214471,2376261,74.1,1999036,87.9,2108135,65.8,1795684,78.9,4736990,N/A,2456760,N/A,255400,5400,0,187260,1939803,N/A,3530380,N/A,409,553,383155,95,349258,95,1148793,313988,2037480,2220241,85.6,1992479,5358825,206724,287570,2358063,79.7,2103966,71.1,5627892,190250,252000,1005722,47.7,1005679,47.8,990227,49.7,936397,52.1,268877,77,N/A,176941,35.3,113706,42.3,N/A,N/A
Virginia,23724885,277955,355447,18066018,211657,16018447,239989,7573232,88.7,6602488,95,6430347,75.3,5613156,84.1,14564685,N/A,8339400,N/A,799500,21300,0,507584,6412740,N/A,11131237,N/A,1119,13338,1511695,95,1309696,95,4433702,326270,1745880,7140439,95,6087995,17196351,235342,324688,7512520,93.6,6402510,79.7,17953932,223585,295452,3320296,51.6,3319930,51.9,3262380,53.6,3094372,55.1,997875,76.2,N/A,795204,42.3,501812,50.3,N/A,N/A
Veterans Health,9068320,N/A,N/A,7956345,N/A,7952734,N/A,3571459,N/A,3569404,N/A,2997431,N/A,2995941,N/A,3983940,N/A,4449880,N/A,626900,7600,0,256287,4098438,N/A,3601441,N/A,134,45,1740146,0,1534350,0,4298259,0,0,3571334,0,2997354,7956143,0,0,3571350,0,2997360,0,7956165,0,0,1237331,41.3,1237326,41.3,1237325,41.3,1237236,41.3,806848,52.6,N/A,322424,28.8,252412,31.3,N/A,N/A
Virgin Islands,162860,153222,199811,151097,142155,141132,173153,72608,68.3,67280,82.5,58072,54.6,53839,66.1,115320,N/A,44240,N/A,3100,200,0,2340,45757,N/A,102993,N/A,5,2,20229,95,15729,76.8,43914,214445,795293,71031,79.4,56916,148368,165913,182119,72523,72.8,58043,58.3,150981,151551,163475,18337,31.6,18336,31.6,18321,32.2,17897,33.2,7627,48.5,N/A,1917,14.2,1208,15.8,N/A,N/A
Vermont,2227690,357008,436816,1587925,254480,1415064,277472,604533,95,528865,95,522539,83.7,457925,89.8,1305470,N/A,846920,N/A,73500,1800,0,54139,611606,N/A,921156,N/A,64,960,147641,95,131093,95,483320,386535,1781600,566703,95,491836,1508383,273779,404336,597571,95,519533,87.3,1574742,264687,374436,335264,64.2,335251,64.5,328404,66.8,309793,67.7,110121,84,N/A,94490,47.5,63244,57.4,N/A,N/A
Washington,22028495,289282,370113,16070500,211040,14361732,241299,6363589,83.6,5585545,93.8,5684839,74.7,5012167,84.2,13309895,N/A,7921100,N/A,773600,23900,0,492717,5950945,N/A,9609524,N/A,1819,15495,1274516,95,1168762,95,4040261,333982,1820950,6007245,92.4,5396642,15334344,235879,338852,6301447,88,5655755,79,15957371,222918,307729,3194980,56.2,3194866,56.5,3126066,57.9,2973962,59.3,932200,79.8,N/A,856496,50,543869,58.3,N/A,N/A
Wisconsin,14245645,244668,312690,11344055,194834,10293663,225944,4294791,73.8,3814105,83.7,3910260,67.2,3491624,76.6,8467545,N/A,5305600,N/A,455800,16700,0,337820,4308771,N/A,6693048,N/A,659,3757,1061870,95,994195,95,3505834,344641,1400420,4085856,81.7,3738562,10915025,218310,284925,4263626,77.6,3898084,71,11287124,205522,259392,2306266,59,2306240,59.2,2273575,60.8,2184617,62.6,822236,82.7,N/A,663145,46.1,455179,55.4,N/A,N/A
West Virginia,4921245,274601,343523,2939144,164001,2745996,191682,1194064,66.6,1098266,76.7,1057919,59,977535,68.2,2769425,N/A,1974320,N/A,170500,7000,0,68327,1263810,N/A,1604639,N/A,112,2256,348542,95,317637,86.5,1004838,273790,1340900,1161232,74.5,1032946,2878495,184775,315902,1190932,70.1,1056520,62.2,2933816,172667,289635,510918,48.3,510880,48.4,508252,49.2,495548,50.7,220441,69.4,N/A,126159,35,89650,40.7,N/A,N/A
Wyoming,1154085,199407,259330,801483,138483,742282,166796,345519,59.7,315960,71,302399,52.2,277425,62.3,606145,N/A,496740,N/A,49200,2000,0,29110,351891,N/A,419643,N/A,93,746,94819,95,85360,86.1,260006,262158,1163640,335008,68.3,294062,781525,159261,235181,344538,63.4,301995,55.5,799689,147048,212215,138342,45.7,138326,45.8,137435,46.7,133605,48.2,59804,70.1,N/A,33738,35.5,24837,41.5,N/A,N/A
